CUDA available: True
Device name: NVIDIA GeForce RTX 4090
Current device: 0

===== Fold 1/ 5 =====
[Fold 0] Epoch 1/100 | Train Loss: 0.5249 | Val Acc: 0.8890 | Val F1: 0.8967
[Fold 0] Epoch 2/100 | Train Loss: 0.2607 | Val Acc: 0.5073 | Val F1: 0.0000
[Fold 0] Epoch 3/100 | Train Loss: 0.2183 | Val Acc: 0.9340 | Val F1: 0.9338
[Fold 0] Epoch 4/100 | Train Loss: 0.2069 | Val Acc: 0.9086 | Val F1: 0.9140
[Fold 0] Epoch 5/100 | Train Loss: 0.1885 | Val Acc: 0.9309 | Val F1: 0.9289
[Fold 0] Epoch 6/100 | Train Loss: 0.1832 | Val Acc: 0.9421 | Val F1: 0.9427
[Fold 0] Epoch 7/100 | Train Loss: 0.1717 | Val Acc: 0.9378 | Val F1: 0.9393
[Fold 0] Epoch 8/100 | Train Loss: 0.1692 | Val Acc: 0.9332 | Val F1: 0.9354
[Fold 0] Epoch 9/100 | Train Loss: 0.1675 | Val Acc: 0.9380 | Val F1: 0.9396
[Fold 0] Epoch 10/100 | Train Loss: 0.1594 | Val Acc: 0.9376 | Val F1: 0.9393
[Fold 0] Epoch 11/100 | Train Loss: 0.1638 | Val Acc: 0.9430 | Val F1: 0.9439
[Fold 0] Epoch 12/100 | Train Loss: 0.1515 | Val Acc: 0.9419 | Val F1: 0.9410
[Fold 0] Epoch 13/100 | Train Loss: 0.1525 | Val Acc: 0.9383 | Val F1: 0.9401
[Fold 0] Epoch 14/100 | Train Loss: 0.1469 | Val Acc: 0.9454 | Val F1: 0.9457
[Fold 0] Epoch 15/100 | Train Loss: 0.1482 | Val Acc: 0.9356 | Val F1: 0.9329
[Fold 0] Epoch 16/100 | Train Loss: 0.1415 | Val Acc: 0.9423 | Val F1: 0.9419
[Fold 0] Epoch 17/100 | Train Loss: 0.1385 | Val Acc: 0.9434 | Val F1: 0.9440
[Fold 0] Epoch 18/100 | Train Loss: 0.1370 | Val Acc: 0.9427 | Val F1: 0.9441
[Fold 0] Epoch 19/100 | Train Loss: 0.1326 | Val Acc: 0.9447 | Val F1: 0.9456
[Fold 0] Epoch 20/100 | Train Loss: 0.1317 | Val Acc: 0.9485 | Val F1: 0.9485
[Fold 0] Epoch 21/100 | Train Loss: 0.1265 | Val Acc: 0.9494 | Val F1: 0.9494
[Fold 0] Epoch 22/100 | Train Loss: 0.1259 | Val Acc: 0.9485 | Val F1: 0.9488
[Fold 0] Epoch 23/100 | Train Loss: 0.1180 | Val Acc: 0.9476 | Val F1: 0.9473
[Fold 0] Epoch 24/100 | Train Loss: 0.1120 | Val Acc: 0.9450 | Val F1: 0.9453
[Fold 0] Epoch 25/100 | Train Loss: 0.1140 | Val Acc: 0.9470 | Val F1: 0.9475
[Fold 0] Epoch 26/100 | Train Loss: 0.1152 | Val Acc: 0.9454 | Val F1: 0.9461
[Fold 0] Epoch 27/100 | Train Loss: 0.1149 | Val Acc: 0.9392 | Val F1: 0.9405
[Fold 0] Epoch 28/100 | Train Loss: 0.1088 | Val Acc: 0.9387 | Val F1: 0.9405
[Fold 0] Epoch 29/100 | Train Loss: 0.1055 | Val Acc: 0.9385 | Val F1: 0.9401
[Fold 0] Epoch 30/100 | Train Loss: 0.1036 | Val Acc: 0.9479 | Val F1: 0.9486
[Fold 0] Epoch 31/100 | Train Loss: 0.0979 | Val Acc: 0.9436 | Val F1: 0.9447
[Fold 0] Epoch 32/100 | Train Loss: 0.0960 | Val Acc: 0.9467 | Val F1: 0.9470
[Fold 0] Epoch 33/100 | Train Loss: 0.0962 | Val Acc: 0.9474 | Val F1: 0.9477
[Fold 0] Epoch 34/100 | Train Loss: 0.0928 | Val Acc: 0.9416 | Val F1: 0.9414
[Fold 0] Epoch 35/100 | Train Loss: 0.0893 | Val Acc: 0.9207 | Val F1: 0.9237
[Fold 0] Epoch 36/100 | Train Loss: 0.0944 | Val Acc: 0.9474 | Val F1: 0.9476
[Fold 0] Epoch 37/100 | Train Loss: 0.0859 | Val Acc: 0.9439 | Val F1: 0.9427
[Fold 0] Epoch 38/100 | Train Loss: 0.0865 | Val Acc: 0.9461 | Val F1: 0.9457
[Fold 0] Epoch 39/100 | Train Loss: 0.0822 | Val Acc: 0.9497 | Val F1: 0.9496
[Fold 0] Epoch 40/100 | Train Loss: 0.0789 | Val Acc: 0.9478 | Val F1: 0.9467
[Fold 0] Epoch 41/100 | Train Loss: 0.0804 | Val Acc: 0.9427 | Val F1: 0.9419
[Fold 0] Epoch 42/100 | Train Loss: 0.0759 | Val Acc: 0.9421 | Val F1: 0.9431
[Fold 0] Epoch 43/100 | Train Loss: 0.0792 | Val Acc: 0.9448 | Val F1: 0.9441
[Fold 0] Epoch 44/100 | Train Loss: 0.0770 | Val Acc: 0.9300 | Val F1: 0.9320
[Fold 0] Epoch 45/100 | Train Loss: 0.0732 | Val Acc: 0.9459 | Val F1: 0.9458
[Fold 0] Epoch 46/100 | Train Loss: 0.0679 | Val Acc: 0.9467 | Val F1: 0.9470
[Fold 0] Epoch 47/100 | Train Loss: 0.0716 | Val Acc: 0.9376 | Val F1: 0.9391
[Fold 0] Epoch 48/100 | Train Loss: 0.0702 | Val Acc: 0.9465 | Val F1: 0.9465
[Fold 0] Epoch 49/100 | Train Loss: 0.0675 | Val Acc: 0.9472 | Val F1: 0.9475
[Fold 0] Epoch 50/100 | Train Loss: 0.0596 | Val Acc: 0.9432 | Val F1: 0.9432
[Fold 0] Epoch 51/100 | Train Loss: 0.0632 | Val Acc: 0.9450 | Val F1: 0.9448
[Fold 0] Epoch 52/100 | Train Loss: 0.0595 | Val Acc: 0.9436 | Val F1: 0.9438
[Fold 0] Epoch 53/100 | Train Loss: 0.0597 | Val Acc: 0.9448 | Val F1: 0.9449
